duration,pass_aerial_won,pass_angle,pass_body_part_name,pass_cross,pass_cut_back,pass_deflected,pass_height_name,pass_length,pass_switch,pass_through_ball,play_pattern_name,shot_aerial_won,shot_body_part_name,shot_first_time,shot_one_on_one,shot_open_goal,shot_technique_name,under_pressure,goal,distance,angle,build_up_duration,direct_free_kick,shot_cone,num_players_in_shot_cone,distance_to_nearest_opponent,pass_angle_na,pass_length_na,distance_to_nearest_opponent_na
0.24,0,0.0,,0,0,0,,0.0,0,0,From Throw In,0,other,0,0,0,Normal,0,0,25.942243542145693,0.4808872801953358,1.72,0,92.0,1,14.422205101855956,True,True,False
1.293,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,other,0,0,0,Normal,0,0,28.635642126552707,0.43240777557053783,6.387,1,104.0,1,5.385164807134504,True,True,False
1.493,0,0.0,,0,0,0,,0.0,0,0,From Keeper,0,other,1,0,0,Normal,0,0,26.870057685088806,0.7853981633974483,5.507,0,76.0,0,14.422205101855956,True,True,False
0.8,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,other,0,0,0,Normal,1,0,16.278820596099706,0.18534794999569476,1.8,0,64.0,0,7.615773105863909,True,True,False
0.24,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,other,0,0,0,Normal,0,0,35.4400902933387,0.2860514417173182,4.825,0,136.0,2,7.0710678118654755,True,True,False
0.372,0,0.0,,0,0,0,,0.0,0,0,From Corner,0,other,1,0,0,Normal,0,0,25.079872407968907,0.07982998571223732,46.121,0,100.0,1,10.0,True,True,False
0.48,0,0.0,,0,0,0,,0.0,0,0,From Corner,0,other,1,0,0,Normal,0,0,21.93171219946131,0.4228539261329407,23.053,0,80.0,0,8.0,True,True,False
0.36,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,other,0,0,0,Normal,0,0,30.479501308256342,0.8550527371260165,6.3999999999999995,1,80.0,0,9.433981132056603,True,True,False
1.173,0,0.0,,0,0,0,,0.0,0,0,From Goal Kick,0,other,0,0,0,Normal,0,0,34.48187929913333,0.2942345651111878,8.707,0,132.0,1,8.06225774829855,True,True,False
0.773,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,other,0,0,0,Normal,0,1,19.4164878389476,0.20749622643520266,25.053000000000004,1,76.0,0,11.180339887498949,True,True,False
0.3,0,0.0,,0,0,0,,0.0,0,0,From Corner,0,other,0,0,0,Normal,0,0,28.844410203711913,0.5880026035475675,8.18,0,96.0,1,14.142135623730951,True,True,False
0.32,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,other,0,0,0,Normal,0,0,26.476404589747453,0.18998828791871572,25.066999999999997,1,104.0,1,7.615773105863909,True,True,False
3.08,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,other,1,0,0,Volley,0,0,61.5223536610881,0.1304033078891334,9.853,1,244.0,1,5.0,True,True,False
